Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
expose,reward_low_FP_rate,artificialNoAnomaly/art_daily_no_noise.csv,0.9964506088337272,0.0,0,3428,0,0,3428
expose,reward_low_FP_rate,artificialNoAnomaly/art_daily_perfect_square_wave.csv,0.9964506088337272,0.0,0,3428,0,0,3428
expose,reward_low_FP_rate,artificialNoAnomaly/art_daily_small_noise.csv,0.9964506088337272,0.0,0,3428,0,0,3428
expose,reward_low_FP_rate,artificialNoAnomaly/art_flatline.csv,0.9964506088337272,0.0,0,3428,0,0,3428
expose,reward_low_FP_rate,artificialNoAnomaly/art_noisy.csv,0.9964506088337272,0.0,0,3428,0,0,3428
expose,reward_low_FP_rate,artificialWithAnomaly/art_daily_flatmiddle.csv,0.9964506088337272,-1.4095650036446996,0,3023,2,403,3428
expose,reward_low_FP_rate,artificialWithAnomaly/art_daily_jumpsdown.csv,0.9964506088337272,-1.1400587435686267,0,3024,1,403,3428
expose,reward_low_FP_rate,artificialWithAnomaly/art_daily_jumpsup.csv,0.9964506088337272,0.7182119928618548,2,3024,1,401,3428
expose,reward_low_FP_rate,artificialWithAnomaly/art_daily_nojump.csv,0.9964506088337272,-1.132473569302291,0,3024,1,403,3428
expose,reward_low_FP_rate,artificialWithAnomaly/art_increase_spike_density.csv,0.9964506088337272,-1.0,0,3025,0,403,3428
expose,reward_low_FP_rate,artificialWithAnomaly/art_load_balancer_spikes.csv,0.9964506088337272,-1.0,0,3025,0,403,3428
expose,reward_low_FP_rate,realAdExchange/exchange-2_cpc_results.csv,0.9964506088337272,-1.0,0,1218,0,163,1381
expose,reward_low_FP_rate,realAdExchange/exchange-2_cpm_results.csv,0.9964506088337272,-2.0,0,1219,0,162,1381
expose,reward_low_FP_rate,realAdExchange/exchange-3_cpc_results.csv,0.9964506088337272,-3.0,0,1155,0,153,1308
expose,reward_low_FP_rate,realAdExchange/exchange-3_cpm_results.csv,0.9964506088337272,-1.0,0,1155,0,153,1308
expose,reward_low_FP_rate,realAdExchange/exchange-4_cpc_results.csv,0.9964506088337272,-3.0,0,1232,0,165,1397
expose,reward_low_FP_rate,realAdExchange/exchange-4_cpm_results.csv,0.9964506088337272,-2.351763212438341,2,1232,1,162,1397
expose,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_24ae8d.csv,0.9964506088337272,-2.0,0,3026,0,402,3428
