Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
expose,standard,artificialNoAnomaly/art_daily_no_noise.csv,0.9947928638771414,0.0,0,3428,0,0,3428
expose,standard,artificialNoAnomaly/art_daily_perfect_square_wave.csv,0.9947928638771414,0.0,0,3428,0,0,3428
expose,standard,artificialNoAnomaly/art_daily_small_noise.csv,0.9947928638771414,0.0,0,3428,0,0,3428
expose,standard,artificialNoAnomaly/art_flatline.csv,0.9947928638771414,0.0,0,3428,0,0,3428
expose,standard,artificialNoAnomaly/art_noisy.csv,0.9947928638771414,0.0,0,3428,0,0,3428
expose,standard,artificialWithAnomaly/art_daily_flatmiddle.csv,0.9947928638771414,0.47616066436014626,1,3020,5,402,3428
expose,standard,artificialWithAnomaly/art_daily_jumpsdown.csv,0.9947928638771414,0.7906424524853889,2,3024,1,401,3428
expose,standard,artificialWithAnomaly/art_daily_jumpsup.csv,0.9947928638771414,0.7840111034582655,2,3024,1,401,3428
expose,standard,artificialWithAnomaly/art_daily_nojump.csv,0.9947928638771414,-1.213191301317563,0,3022,3,403,3428
expose,standard,artificialWithAnomaly/art_increase_spike_density.csv,0.9947928638771414,-1.0,0,3025,0,403,3428
expose,standard,artificialWithAnomaly/art_load_balancer_spikes.csv,0.9947928638771414,-1.0,0,3025,0,403,3428
expose,standard,realAdExchange/exchange-2_cpc_results.csv,0.9947928638771414,-1.0,0,1218,0,163,1381
expose,standard,realAdExchange/exchange-2_cpm_results.csv,0.9947928638771414,-2.0,0,1219,0,162,1381
expose,standard,realAdExchange/exchange-3_cpc_results.csv,0.9947928638771414,-3.0,0,1155,0,153,1308
expose,standard,realAdExchange/exchange-3_cpm_results.csv,0.9947928638771414,-1.0,0,1155,0,153,1308
expose,standard,realAdExchange/exchange-4_cpc_results.csv,0.9947928638771414,-3.0,0,1232,0,165,1397
expose,standard,realAdExchange/exchange-4_cpm_results.csv,0.9947928638771414,-0.3735264248766823,3,1232,1,161,1397
expose,standard,realAWSCloudwatch/ec2_cpu_utilization_24ae8d.csv,0.9947928638771414,-2.0,0,3026,0,402,3428
expose,standard,realAWSCloudwatch/ec2_cpu_utilization_53ea38.csv,0.9947928638771414,-2.0,0,3026,0,402,3428
expose,standard,realAWSCloudwatch/ec2_cpu_utilization_5f5533.csv,0.9947928638771414,-0.13844919792440225,1,3026,0,401,3428
expose,standard,realAWSCloudwatch/ec2_cpu_utilization_77c1ca.csv,0.9947928638771414,-3.3828649897900975,10,2981,44,393,3428
expose,standard,realAWSCloudwatch/ec2_cpu_utilization_825cc2.csv,0.9947928638771414,0.39262855318742607,5,3079,6,338,3428
expose,standard,realAWSCloudwatch/ec2_cpu_utilization_ac20cd.csv,0.9947928638771414,0.7673127770158185,2,3024,1,401,3428
expose,standard,realAWSCloudwatch/ec2_cpu_utilization_c6585a.csv,0.9947928638771414,0.0,0,3428,0,0,3428
expose,standard,realAWSCloudwatch/ec2_cpu_utilization_fe7f93.csv,0.9947928638771414,-3.6520437269459967,4,3000,23,401,3428
