Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
numenta,reward_low_FP_rate,artificialNoAnomaly/art_daily_no_noise.csv,0.523386545401,-0.66,0,3425,3,0,3428
numenta,reward_low_FP_rate,artificialNoAnomaly/art_daily_perfect_square_wave.csv,0.523386545401,0.0,0,3428,0,0,3428
numenta,reward_low_FP_rate,artificialNoAnomaly/art_daily_small_noise.csv,0.523386545401,-0.44,0,3426,2,0,3428
numenta,reward_low_FP_rate,artificialNoAnomaly/art_flatline.csv,0.523386545401,0.0,0,3428,0,0,3428
numenta,reward_low_FP_rate,artificialNoAnomaly/art_noisy.csv,0.523386545401,0.0,0,3428,0,0,3428
numenta,reward_low_FP_rate,artificialWithAnomaly/art_daily_flatmiddle.csv,0.523386545401,0.4530903658173922,1,3023,2,402,3428
numenta,reward_low_FP_rate,artificialWithAnomaly/art_daily_jumpsdown.csv,0.523386545401,0.41890867043772445,4,3023,2,399,3428
numenta,reward_low_FP_rate,artificialWithAnomaly/art_daily_jumpsup.csv,0.523386545401,0.8606718242697022,4,3025,0,399,3428
numenta,reward_low_FP_rate,artificialWithAnomaly/art_daily_nojump.csv,0.523386545401,-1.5567029318416292,0,3022,3,403,3428
numenta,reward_low_FP_rate,artificialWithAnomaly/art_increase_spike_density.csv,0.523386545401,0.8606718242697022,1,3025,0,402,3428
numenta,reward_low_FP_rate,artificialWithAnomaly/art_load_balancer_spikes.csv,0.523386545401,0.2947881465242266,6,3022,3,397,3428
numenta,reward_low_FP_rate,realAdExchange/exchange-2_cpc_results.csv,0.523386545401,-1.6600000000000001,0,1215,3,163,1381
numenta,reward_low_FP_rate,realAdExchange/exchange-2_cpm_results.csv,0.523386545401,1.288243306042216,3,1217,2,159,1381
numenta,reward_low_FP_rate,realAdExchange/exchange-3_cpc_results.csv,0.523386545401,2.5707776044966035,3,1155,0,150,1308
numenta,reward_low_FP_rate,realAdExchange/exchange-3_cpm_results.csv,0.523386545401,0.6422205193355025,2,1154,1,151,1308
numenta,reward_low_FP_rate,realAdExchange/exchange-4_cpc_results.csv,0.523386545401,0.5122636907460967,3,1231,1,162,1397
numenta,reward_low_FP_rate,realAdExchange/exchange-4_cpm_results.csv,0.523386545401,1.1647103626849766,5,1231,2,159,1397
numenta,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_24ae8d.csv,0.523386545401,0.8395664849068695,3,3022,4,399,3428
numenta,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_53ea38.csv,0.523386545401,0.6568330417958486,3,3025,1,399,3428
numenta,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_5f5533.csv,0.523386545401,1.7231016041511955,6,3026,0,396,3428
numenta,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_77c1ca.csv,0.523386545401,0.4814733018831834,3,3021,4,400,3428
numenta,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_825cc2.csv,0.523386545401,0.7365378402835625,8,3084,1,335,3428
numenta,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_ac20cd.csv,0.523386545401,0.8757274094930131,3,3025,0,400,3428
numenta,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_c6585a.csv,0.523386545401,-0.66,0,3425,3,0,3428
numenta,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_fe7f93.csv,0.523386545401,0.7396346345610598,2,3023,0,403,3428
numenta,reward_low_FP_rate,realAWSCloudwatch/ec2_disk_write_bytes_1ef3de.csv,0.523386545401,0.2962999929883815,3,3545,3,470,4021
