Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
numentaTM,reward_low_FP_rate,artificialNoAnomaly/art_daily_no_noise.csv,0.651047950287,0.0,0,3428,0,0,3428
numentaTM,reward_low_FP_rate,artificialNoAnomaly/art_daily_perfect_square_wave.csv,0.651047950287,0.0,0,3428,0,0,3428
numentaTM,reward_low_FP_rate,artificialNoAnomaly/art_daily_small_noise.csv,0.651047950287,0.0,0,3428,0,0,3428
numentaTM,reward_low_FP_rate,artificialNoAnomaly/art_flatline.csv,0.651047950287,0.0,0,3428,0,0,3428
numentaTM,reward_low_FP_rate,artificialNoAnomaly/art_noisy.csv,0.651047950287,0.0,0,3428,0,0,3428
numentaTM,reward_low_FP_rate,artificialWithAnomaly/art_daily_flatmiddle.csv,0.651047950287,0.8571268814503882,3,3025,0,400,3428
numentaTM,reward_low_FP_rate,artificialWithAnomaly/art_daily_jumpsdown.csv,0.651047950287,-1.0,0,3025,0,403,3428
numentaTM,reward_low_FP_rate,artificialWithAnomaly/art_daily_jumpsup.csv,0.651047950287,0.8606718242697022,4,3025,0,399,3428
numentaTM,reward_low_FP_rate,artificialWithAnomaly/art_daily_nojump.csv,0.651047950287,-1.0,0,3025,0,403,3428
numentaTM,reward_low_FP_rate,artificialWithAnomaly/art_increase_spike_density.csv,0.651047950287,-1.22,0,3024,1,403,3428
numentaTM,reward_low_FP_rate,artificialWithAnomaly/art_load_balancer_spikes.csv,0.651047950287,0.8535067668446377,5,3025,0,398,3428
numentaTM,reward_low_FP_rate,realAdExchange/exchange-2_cpc_results.csv,0.651047950287,-1.0,0,1218,0,163,1381
numentaTM,reward_low_FP_rate,realAdExchange/exchange-2_cpm_results.csv,0.651047950287,1.508243306042216,3,1218,1,159,1381
numentaTM,reward_low_FP_rate,realAdExchange/exchange-3_cpc_results.csv,0.651047950287,2.5543675566580184,3,1155,0,150,1308
numentaTM,reward_low_FP_rate,realAdExchange/exchange-3_cpm_results.csv,0.651047950287,0.6422205193355025,1,1154,1,152,1308
numentaTM,reward_low_FP_rate,realAdExchange/exchange-4_cpc_results.csv,0.651047950287,0.2928135031777921,5,1230,2,160,1397
numentaTM,reward_low_FP_rate,realAdExchange/exchange-4_cpm_results.csv,0.651047950287,1.3847103626849764,6,1232,1,158,1397
numentaTM,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_24ae8d.csv,0.651047950287,-1.8984491979244023,2,3018,8,400,3428
numentaTM,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_53ea38.csv,0.651047950287,0.9849730219670538,5,3023,3,397,3428
numentaTM,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_5f5533.csv,0.651047950287,1.7231016041511955,6,3026,0,396,3428
numentaTM,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_77c1ca.csv,0.651047950287,-1.0,0,3025,0,403,3428
numentaTM,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_825cc2.csv,0.651047950287,0.7365378402835625,7,3084,1,336,3428
numentaTM,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_ac20cd.csv,0.651047950287,0.8741249559990424,3,3025,0,400,3428
numentaTM,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_c6585a.csv,0.651047950287,-2.6400000000000006,0,3416,12,0,3428
numentaTM,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_fe7f93.csv,0.651047950287,0.7396346345610598,2,3023,0,403,3428
numentaTM,reward_low_FP_rate,realAWSCloudwatch/ec2_disk_write_bytes_1ef3de.csv,0.651047950287,0.010364385328879178,2,3544,4,471,4021
numentaTM,reward_low_FP_rate,realAWSCloudwatch/ec2_disk_write_bytes_c0d644.csv,0.651047950287,0.4247525419367868,6,3021,2,399,3428
numentaTM,reward_low_FP_rate,realAWSCloudwatch/ec2_network_in_257a54.csv,0.651047950287,0.8606718242697022,4,3025,0,399,3428
numentaTM,reward_low_FP_rate,realAWSCloudwatch/ec2_network_in_5abac7.csv,0.651047950287,1.0625698466500109,2,3544,3,472,4021
numentaTM,reward_low_FP_rate,realAWSCloudwatch/elb_request_count_8c0756.csv,0.651047950287,1.4959561349912347,3,3025,1,399,3428
numentaTM,reward_low_FP_rate,realAWSCloudwatch/grok_asg_anomaly.csv,0.651047950287,2.048508429528958,6,3460,3,459,3928
numentaTM,reward_low_FP_rate,realAWSCloudwatch/iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.651047950287,-2.2199999999999998,0,930,1,126,1057
numentaTM,reward_low_FP_rate,realAWSCloudwatch/rds_cpu_utilization_cc0c53.csv,0.651047950287,-0.13844919792440225,2,3026,0,400,3428
numentaTM,reward_low_FP_rate,realAWSCloudwatch/rds_cpu_utilization_e47b3b.csv,0.651047950287,1.7122692801414665,3,3026,0,399,3428
numentaTM,reward_low_FP_rate,realKnownCause/ambient_temperature_system_failure.csv,0.651047950287,-0.5385998592730217,2,5789,2,724,6517
numentaTM,reward_low_FP_rate,realKnownCause/cpu_utilization_asg_misconfiguration.csv,0.651047950287,0.30664632477895115,5,15798,3,1494,17300
numentaTM,reward_low_FP_rate,realKnownCause/ec2_request_latency_system_failure.csv,0.651047950287,1.3758690538429592,7,3079,3,339,3428
numentaTM,reward_low_FP_rate,realKnownCause/machine_temperature_system_failure.csv,0.651047950287,-3.2185534404699383,1,19672,5,2267,21945
numentaTM,reward_low_FP_rate,realKnownCause/nyc_taxi.csv,0.651047950287,0.5811362309810963,4,8535,0,1031,9570
numentaTM,reward_low_FP_rate,realKnownCause/rogue_agent_key_hold.csv,0.651047950287,-2.44,0,1408,2,190,1600
numentaTM,reward_low_FP_rate,realKnownCause/rogue_agent_key_updown.csv,0.651047950287,-2.88,0,4031,4,530,4565
numentaTM,reward_low_FP_rate,realTraffic/occupancy_6005.csv,0.651047950287,0.8612724903753929,1,1784,0,238,2023
numentaTM,reward_low_FP_rate,realTraffic/occupancy_t4013.csv,0.651047950287,1.5160251845026103,4,1874,1,246,2125
numentaTM,reward_low_FP_rate,realTraffic/speed_6005.csv,0.651047950287,0.40262200175593826,3,1884,2,236,2125
numentaTM,reward_low_FP_rate,realTraffic/speed_7578.csv,0.651047950287,3.1098445629736555,5,840,2,111,958
numentaTM,reward_low_FP_rate,realTraffic/speed_t4013.csv,0.651047950287,1.9846249146536796,7,1871,0,243,2121
numentaTM,reward_low_FP_rate,realTraffic/TravelTime_387.csv,0.651047950287,0.5918139803256515,2,1876,0,247,2125
numentaTM,reward_low_FP_rate,realTraffic/TravelTime_451.csv,0.651047950287,-1.0,0,1621,0,217,1838
numentaTM,reward_low_FP_rate,realTweets/Twitter_volume_AAPL.csv,0.651047950287,0.828286548504898,10,13558,6,1578,15152
numentaTM,reward_low_FP_rate,realTweets/Twitter_volume_AMZN.csv,0.651047950287,-1.457065661724024,7,13495,6,1573,15081
numentaTM,reward_low_FP_rate,realTweets/Twitter_volume_CRM.csv,0.651047950287,0.723575559502073,5,13559,0,1588,15152
