Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
numentaTM,standard,artificialNoAnomaly/art_daily_no_noise.csv,0.512734098949,0.0,0,3428,0,0,3428
numentaTM,standard,artificialNoAnomaly/art_daily_perfect_square_wave.csv,0.512734098949,0.0,0,3428,0,0,3428
numentaTM,standard,artificialNoAnomaly/art_daily_small_noise.csv,0.512734098949,0.0,0,3428,0,0,3428
numentaTM,standard,artificialNoAnomaly/art_flatline.csv,0.512734098949,0.0,0,3428,0,0,3428
numentaTM,standard,artificialNoAnomaly/art_noisy.csv,0.512734098949,0.0,0,3428,0,0,3428
numentaTM,standard,artificialWithAnomaly/art_daily_flatmiddle.csv,0.512734098949,0.8571268814503882,6,3025,0,397,3428
numentaTM,standard,artificialWithAnomaly/art_daily_jumpsdown.csv,0.512734098949,0.8553262996215624,1,3025,0,402,3428
numentaTM,standard,artificialWithAnomaly/art_daily_jumpsup.csv,0.512734098949,0.8606718242697022,5,3025,0,398,3428
numentaTM,standard,artificialWithAnomaly/art_daily_nojump.csv,0.512734098949,-1.093690827631788,0,3024,1,403,3428
numentaTM,standard,artificialWithAnomaly/art_increase_spike_density.csv,0.512734098949,-1.33,0,3022,3,403,3428
numentaTM,standard,artificialWithAnomaly/art_load_balancer_spikes.csv,0.512734098949,0.845492147479458,9,3024,1,394,3428
numentaTM,standard,realAdExchange/exchange-2_cpc_results.csv,0.512734098949,-1.0,0,1218,0,163,1381
numentaTM,standard,realAdExchange/exchange-2_cpm_results.csv,0.512734098949,1.6182433060422161,3,1218,1,159,1381
numentaTM,standard,realAdExchange/exchange-3_cpc_results.csv,0.512734098949,2.5543675566580184,3,1155,0,150,1308
numentaTM,standard,realAdExchange/exchange-3_cpm_results.csv,0.512734098949,0.7521595533438323,1,1154,1,152,1308
numentaTM,standard,realAdExchange/exchange-4_cpc_results.csv,0.512734098949,0.2925385969619443,5,1228,4,160,1397
numentaTM,standard,realAdExchange/exchange-4_cpm_results.csv,0.512734098949,1.3847103626849764,6,1231,2,158,1397
numentaTM,standard,realAWSCloudwatch/ec2_cpu_utilization_24ae8d.csv,0.512734098949,0.5887849436245678,4,3015,11,398,3428
numentaTM,standard,realAWSCloudwatch/ec2_cpu_utilization_53ea38.csv,0.512734098949,1.095025016909685,6,3021,5,396,3428
numentaTM,standard,realAWSCloudwatch/ec2_cpu_utilization_5f5533.csv,0.512734098949,1.7231016041511955,6,3026,0,396,3428
numentaTM,standard,realAWSCloudwatch/ec2_cpu_utilization_77c1ca.csv,0.512734098949,0.7463242280495985,2,3022,3,401,3428
numentaTM,standard,realAWSCloudwatch/ec2_cpu_utilization_825cc2.csv,0.512734098949,0.8465378402835625,7,3084,1,336,3428
numentaTM,standard,realAWSCloudwatch/ec2_cpu_utilization_ac20cd.csv,0.512734098949,0.8741249559990424,3,3025,0,400,3428
numentaTM,standard,realAWSCloudwatch/ec2_cpu_utilization_c6585a.csv,0.512734098949,-1.3200000000000003,0,3416,12,0,3428
numentaTM,standard,realAWSCloudwatch/ec2_cpu_utilization_fe7f93.csv,0.512734098949,0.7396346345610598,2,3023,0,403,3428
numentaTM,standard,realAWSCloudwatch/ec2_disk_write_bytes_1ef3de.csv,0.512734098949,0.4503643853288792,2,3544,4,471,4021
numentaTM,standard,realAWSCloudwatch/ec2_disk_write_bytes_c0d644.csv,0.512734098949,0.572344793759493,9,3020,3,396,3428
numentaTM,standard,realAWSCloudwatch/ec2_network_in_257a54.csv,0.512734098949,0.8606718242697022,4,3025,0,399,3428
numentaTM,standard,realAWSCloudwatch/ec2_network_in_5abac7.csv,0.512734098949,1.392569846650011,3,3544,3,471,4021
numentaTM,standard,realAWSCloudwatch/elb_request_count_8c0756.csv,0.512734098949,1.2373550178968689,6,3021,5,396,3428
numentaTM,standard,realAWSCloudwatch/grok_asg_anomaly.csv,0.512734098949,2.3785084295289582,6,3460,3,459,3928
